Name,Filter,Object,ExposureMode,UT
NCyd040463.fits,K,sax0635+053 A1,frames 10.0 10, TCS UTC at start ( 22h:37m:6.0s)               
NCyd040464.fits,K,sax0635+053 B1,frames 10.0 10, TCS UTC at start ( 22h:39m:8.0s)               
NCyd040465.fits,K,sax0635+053 B2,frames 10.0 10, TCS UTC at start ( 22h:41m:6.0s)               
NCyd040466.fits,K,sax0635+053 A2,frames 10.0 10, TCS UTC at start ( 22h:43m:8.0s)               
NCyd040467.fits,H,sax0635+053 A1,frames 15.0 10, TCS UTC at start (22h:47m:25.0s)               
NCyd040468.fits,H,sax0635+053 B1,frames 15.0 10, TCS UTC at start (22h:50m:18.0s)               
NCyd040469.fits,H,sax0635+053 B2,frames 15.0 10, TCS UTC at start ( 22h:53m:2.0s)               
NCyd040470.fits,H,sax0635+053 A2,frames 15.0 10, TCS UTC at start (22h:55m:52.0s)               
NCyd040471.fits,K,Argon,expose 10.0, TCS UTC at start ( 23h:0m:13.0s)               
NCyd040472.fits,H,Argon,expose 2.0, TCS UTC at start ( 23h:0m:49.0s)               
NCyd040473.fits,K,Xenon,expose 20.0, TCS UTC at start ( 23h:1m:35.0s)               
NCyd040474.fits,K,Halogen 1,expose 7.0, TCS UTC at start ( 23h:2m:16.0s)               
NCyd040475.fits,K,Halogen 2,expose 7.0, TCS UTC at start ( 23h:2m:34.0s)               
NCyd040476.fits,K,Halogen 3,expose 7.0, TCS UTC at start ( 23h:2m:52.0s)               
NCyd040477.fits,H,Xenon,expose 10.0, TCS UTC at start ( 23h:3m:26.0s)               
NCyd040478.fits,H,Halogen 1,expose 7.0, TCS UTC at start ( 23h:3m:56.0s)               
NCyd040479.fits,H,Halogen 2,expose 7.0, TCS UTC at start ( 23h:4m:14.0s)               
NCyd040480.fits,H,Halogen 3,expose 7.0, TCS UTC at start ( 23h:4m:31.0s)               
NCyd040481.fits,H,slit image,expose 3.0, TCS UTC at start (  23h:8m:6.0s)               
NCyd040482.fits,H,acquisition,expose 1.0, TCS UTC at start ( 23h:9m:36.0s)               
NCyd040483.fits,H,acquisition,expose 1.0, TCS UTC at start (23h:10m:42.0s)               
NCyd040484.fits,H,128slit+target,expose 1.0, TCS UTC at start (23h:11m:29.0s)               
NCyd040485.fits,H,HD46301 A1,frames 5.0 6, TCS UTC at start ( 23h:13m:8.0s)               
NCyd040486.fits,H,HD46301 B1,frames 5.0 6, TCS UTC at start (23h:13m:58.0s)               
NCyd040487.fits,H,HD46301 B2,frames 5.0 6, TCS UTC at start (23h:14m:39.0s)               
NCyd040488.fits,H,HD46301 A2,frames 5.0 6, TCS UTC at start (23h:15m:29.0s)               
NCyd040489.fits,K,HD46301 A1,frames 5.0 6, TCS UTC at start (23h:17m:12.0s)               
NCyd040490.fits,K,HD46301 B1,frames 5.0 6, TCS UTC at start ( 23h:18m:3.0s)               
NCyd040491.fits,K,HD46301 B2,frames 5.0 6, TCS UTC at start (23h:18m:44.0s)               
