Name,Filter,Object,ExposureMode,UT
NCye020416.fits,K,StarA A1,frames 30.0 10, TCS UTC at start ( 5h:30m:13.0s)               
NCye020417.fits,K,StarA B1,frames 30.0 10, TCS UTC at start ( 5h:35m:35.0s)               
NCye020418.fits,K,StarA B2,frames 30.0 10, TCS UTC at start (  5h:41m:4.0s)               
NCye020419.fits,K,StarA A2,frames 30.0 10, TCS UTC at start ( 5h:46m:26.0s)               
NCye020420.fits,K,Argon,expose 30.0, TCS UTC at start (  5h:53m:1.0s)               
NCye020421.fits,K,Xenon,expose 60.0, TCS UTC at start ( 5h:53m:54.0s)               
NCye020422.fits,K,Halogen 1,expose 60.0, TCS UTC at start ( 5h:55m:15.0s)               
NCye020423.fits,K,Halogen 2,expose 60.0, TCS UTC at start ( 5h:56m:26.0s)               
NCye020424.fits,K,Halogen 3,expose 60.0, TCS UTC at start ( 5h:57m:38.0s)               
NCye020425.fits,K,slit image,expose 3.0, TCS UTC at start (  6h:3m:52.0s)               
NCye020426.fits,K,acquisition,expose 1.0, TCS UTC at start (   6h:5m:5.0s)               
NCye020427.fits,K,acquisition,expose 1.0, TCS UTC at start (   6h:8m:6.0s)               
NCye020428.fits,K,acquisition,expose 1.0, TCS UTC at start (  6h:10m:1.0s)               
NCye020429.fits,K,acquisition,expose 1.0, TCS UTC at start ( 6h:11m:28.0s)               
NCye020430.fits,K,HIP99346 A1,frames 10.0 10, TCS UTC at start ( 6h:12m:25.0s)               
NCye020431.fits,K,HIP99346 B1,frames 10.0 10, TCS UTC at start ( 6h:14m:22.0s)               
NCye020432.fits,K,HIP99346 B2,frames 10.0 10, TCS UTC at start ( 6h:16m:14.0s)               
NCye020433.fits,K,Argon,expose 30.0, TCS UTC at start ( 6h:23m:21.0s)               
NCye020434.fits,K,darktest,mdark 0.0 5   1/5, TCS UTC at start (  6h:58m:2.0s)               
NCye020435.fits,K,darktest,mdark 0.0 5   2/5, TCS UTC at start ( 6h:58m:13.0s)               
NCye020436.fits,K,darktest,mdark 0.0 5   3/5, TCS UTC at start ( 6h:58m:24.0s)               
NCye020437.fits,K,darktest,mdark 0.0 5   4/5, TCS UTC at start ( 6h:58m:34.0s)               
NCye020438.fits,K,darktest,mdark 0.0 5   5/5, TCS UTC at start ( 6h:58m:45.0s)               
NCye020439.fits,K,darktest,mdark 0.0 5, TCS UTC at start ( 6h:58m:56.0s)               
NCye020440.fits,K,dark-1.0-1 1,dark 1.0, TCS UTC at start ( 7h:19m:28.0s)               
NCye020441.fits,K,dark-1.0-1 2,dark 1.0, TCS UTC at start ( 7h:19m:40.0s)               
NCye020442.fits,K,dark-1.0-1 3,dark 1.0, TCS UTC at start ( 7h:19m:52.0s)               
NCye020443.fits,K,dark-1.0-1 4,dark 1.0, TCS UTC at start (  7h:20m:5.0s)               
NCye020444.fits,K,dark-1.0-1 5,dark 1.0, TCS UTC at start ( 7h:20m:16.0s)               
NCye020445.fits,K,dark-1.0-1 6,dark 1.0, TCS UTC at start ( 7h:20m:28.0s)               
NCye020446.fits,K,dark-10.0-1 1,dark 10.0, TCS UTC at start ( 7h:20m:41.0s)               
NCye020447.fits,K,dark-10.0-1 2,dark 10.0, TCS UTC at start (  7h:21m:2.0s)               
