Name,Filter,Object,ExposureMode,UT
NCyg030305.fits,K,Standard A1,frames 3.6 1, TCS UTC at start (  0h:1m:10.0s)               
NCyg030306.fits,K,Standard B1,frames 3.6 1, TCS UTC at start (  0h:1m:33.0s)               
NCyg030307.fits,K,Standard B2,frames 3.6 1, TCS UTC at start (  0h:1m:48.0s)               
NCyg030308.fits,K,Standard A2,frames 3.6 1, TCS UTC at start (  0h:2m:10.0s)               
NCyg030309.fits,K,slit image,expose 3.0, TCS UTC at start ( 1h:25m:51.0s)               
NCyg030310.fits,K,acquisition,expose 0.5, TCS UTC at start (  1h:27m:8.0s)               
NCyg030311.fits,K,acquisition,expose 0.5, TCS UTC at start ( 1h:27m:37.0s)               
NCyg030312.fits,K,acquisition,expose 0.5, TCS UTC at start (  1h:28m:7.0s)               
NCyg030313.fits,K,128slit+target,expose 0.5, TCS UTC at start ( 1h:28m:49.0s)               
NCyg030314.fits,K,stand1 A1,frames 3.6 2, TCS UTC at start ( 1h:30m:17.0s)               
NCyg030315.fits,K,stand1 B1,frames 3.6 2, TCS UTC at start ( 1h:30m:44.0s)               
NCyg030316.fits,K,stand1 B2,frames 3.6 2, TCS UTC at start (  1h:31m:4.0s)               
NCyg030317.fits,K,stand1 A2,frames 3.6 2, TCS UTC at start ( 1h:31m:32.0s)               
NCyg030318.fits,K,Argon,expose 10.0, TCS UTC at start (  1h:33m:2.0s)               
NCyg030319.fits,H,Argon,expose 2.0, TCS UTC at start ( 1h:33m:39.0s)               
NCyg030320.fits,K,Xenon,expose 20.0, TCS UTC at start ( 1h:34m:25.0s)               
NCyg030321.fits,K,Halogen 1,expose 7.0, TCS UTC at start (  1h:35m:6.0s)               
NCyg030322.fits,K,Halogen 2,expose 7.0, TCS UTC at start ( 1h:35m:24.0s)               
NCyg030323.fits,K,Halogen 3,expose 7.0, TCS UTC at start ( 1h:35m:41.0s)               
NCyg030324.fits,H,Xenon,expose 10.0, TCS UTC at start ( 1h:36m:16.0s)               
NCyg030325.fits,H,Halogen 1,expose 7.0, TCS UTC at start ( 1h:36m:47.0s)               
NCyg030326.fits,H,Halogen 2,expose 7.0, TCS UTC at start (  1h:37m:5.0s)               
NCyg030327.fits,H,Halogen 3,expose 7.0, TCS UTC at start ( 1h:37m:23.0s)               
NCyg030328.fits,H,Halogen 3,expose 1.0, TCS UTC at start ( 1h:39m:31.0s)               
NCyg030329.fits,H,stand1 A1,frames 3.6 2, TCS UTC at start ( 1h:40m:21.0s)               
NCyg030330.fits,H,stand1 B1,frames 3.6 2, TCS UTC at start ( 1h:40m:47.0s)               
NCyg030331.fits,H,stand1 B2,frames 3.6 2, TCS UTC at start (  1h:41m:7.0s)               
NCyg030332.fits,H,stand1 A2,frames 3.6 2, TCS UTC at start ( 1h:41m:34.0s)               
NCyg030333.fits,H,stand1 A1,frames 3.6 2, TCS UTC at start (  1h:42m:1.0s)               
NCyg030334.fits,H,stand1 B1,frames 3.6 2, TCS UTC at start ( 1h:42m:27.0s)               
NCyg030335.fits,H,stand1 B2,frames 3.6 2, TCS UTC at start ( 1h:42m:47.0s)               
NCyg030336.fits,H,stand1 A2,frames 3.6 2, TCS UTC at start ( 1h:43m:13.0s)               
NCyg030337.fits,H,stand1 A1,frames 3.6 2, TCS UTC at start ( 1h:43m:52.0s)               
NCyg030338.fits,H,stand1 B1,frames 3.6 2, TCS UTC at start ( 1h:44m:19.0s)               
NCyg030339.fits,H,stand1 B2,frames 3.6 2, TCS UTC at start ( 1h:44m:38.0s)               
NCyg030340.fits,H,stand1 A2,frames 3.6 2, TCS UTC at start (  1h:45m:3.0s)               
NCyg030341.fits,K,slit image,expose 3.0, TCS UTC at start (  1h:47m:6.0s)               
NCyg030342.fits,K,slit image,expose 10.0, TCS UTC at start ( 1h:48m:13.0s)               
NCyg030343.fits,K,acquisition,expose 10.0, TCS UTC at start ( 1h:49m:12.0s)               
NCyg030344.fits,K,slit image,expose 30.0, TCS UTC at start ( 1h:50m:57.0s)               
NCyg030345.fits,K,acquisition,expose 30.0, TCS UTC at start ( 1h:53m:23.0s)               
NCyg030346.fits,K,slit image,expose 60.0, TCS UTC at start ( 1h:56m:20.0s)               
NCyg030347.fits,K,acquisition,expose 60.0, TCS UTC at start (  1h:58m:4.0s)               
NCyg030348.fits,K,slit image,expose 120.0, TCS UTC at start (  2h:1m:23.0s)               
NCyg030349.fits,K,acquisition,expose 120.0, TCS UTC at start (  2h:4m:11.0s)               
NCyg030350.fits,K,dark after clean3,dark 0.0, TCS UTC at start (  2h:6m:56.0s)               
NCyg030351.fits,K,slit image,expose 60.0, TCS UTC at start (  2h:7m:54.0s)               
NCyg030352.fits,K,acquisition,expose 60.0, TCS UTC at start (  2h:9m:37.0s)               
NCyg030353.fits,K,acquisition,expose 60.0, TCS UTC at start ( 2h:11m:43.0s)               
NCyg030354.fits,K,slit image,expose 3.0, TCS UTC at start ( 2h:18m:25.0s)               
NCyg030355.fits,K,acquisition,expose 1.0, TCS UTC at start ( 2h:19m:35.0s)               
NCyg030356.fits,K,dark after clean3,dark 0.0, TCS UTC at start ( 2h:20m:20.0s)               
NCyg030357.fits,K,dark after clean3,dark 0.0, TCS UTC at start ( 2h:20m:53.0s)               
NCyg030358.fits,K,slit image,expose 3.0, TCS UTC at start (  2h:22m:2.0s)               
NCyg030359.fits,K,acquisition,expose 0.5, TCS UTC at start (  2h:23m:1.0s)               
NCyg030360.fits,K,acquisition,expose 0.5, TCS UTC at start ( 2h:23m:39.0s)               
NCyg030361.fits,K,acquisition,expose 0.5, TCS UTC at start ( 2h:24m:16.0s)               
NCyg030362.fits,K,128slit+target,expose 0.5, TCS UTC at start (  2h:25m:0.0s)               
NCyg030363.fits,K,stand1 A1,frames 3.6 1, TCS UTC at start (  2h:26m:0.0s)               
NCyg030364.fits,K,stand1 B1,frames 3.6 1, TCS UTC at start ( 2h:26m:22.0s)               
NCyg030365.fits,K,stand1 B2,frames 3.6 1, TCS UTC at start ( 2h:26m:37.0s)               
NCyg030366.fits,K,stand1 A2,frames 3.6 1, TCS UTC at start ( 2h:26m:58.0s)               
NCyg030367.fits,H,stand1 A1,frames 3.6 1, TCS UTC at start ( 2h:27m:38.0s)               
NCyg030368.fits,H,stand1 B1,frames 3.6 1, TCS UTC at start (  2h:28m:0.0s)               
NCyg030369.fits,H,stand1 B2,frames 3.6 1, TCS UTC at start ( 2h:28m:15.0s)               
NCyg030370.fits,H,stand1 A2,frames 3.6 1, TCS UTC at start ( 2h:28m:37.0s)               
NCyg030371.fits,J,stand1 A1,frames 3.6 1, TCS UTC at start ( 2h:29m:31.0s)               
NCyg030372.fits,J,stand1 B1,frames 3.6 1, TCS UTC at start ( 2h:29m:54.0s)               
NCyg030373.fits,J,stand1 B2,frames 3.6 1, TCS UTC at start (  2h:30m:9.0s)               
NCyg030374.fits,J,stand1 A2,frames 3.6 1, TCS UTC at start ( 2h:30m:33.0s)               
NCyg030375.fits,K,Argon,expose 10.0, TCS UTC at start ( 2h:32m:17.0s)               
NCyg030376.fits,H,Argon,expose 2.0, TCS UTC at start ( 2h:32m:54.0s)               
NCyg030377.fits,J,Argon,expose 1.5, TCS UTC at start ( 2h:33m:44.0s)               
NCyg030378.fits,K,Xenon,expose 20.0, TCS UTC at start ( 2h:34m:31.0s)               
NCyg030379.fits,K,Halogen 1,expose 7.0, TCS UTC at start ( 2h:35m:11.0s)               
NCyg030380.fits,K,Halogen 2,expose 7.0, TCS UTC at start ( 2h:35m:30.0s)               
NCyg030381.fits,K,Halogen 3,expose 7.0, TCS UTC at start ( 2h:35m:47.0s)               
NCyg030382.fits,H,Xenon,expose 10.0, TCS UTC at start ( 2h:36m:22.0s)               
NCyg030383.fits,H,Halogen 1,expose 7.0, TCS UTC at start ( 2h:36m:52.0s)               
NCyg030384.fits,H,Halogen 2,expose 7.0, TCS UTC at start ( 2h:37m:11.0s)               
NCyg030385.fits,H,Halogen 3,expose 7.0, TCS UTC at start ( 2h:37m:28.0s)               
NCyg030386.fits,J,Xenon,expose 15.0, TCS UTC at start ( 2h:38m:22.0s)               
NCyg030387.fits,J,Halogen 1,expose 8.0, TCS UTC at start ( 2h:38m:57.0s)               
NCyg030388.fits,J,Halogen 2,expose 8.0, TCS UTC at start ( 2h:39m:16.0s)               
NCyg030389.fits,J,Halogen 3,expose 8.0, TCS UTC at start ( 2h:39m:35.0s)               
NCyg030390.fits,J,Halogen 3,expose 1.0, TCS UTC at start (  2h:41m:0.0s)               
NCyg030391.fits,Ks,slit image,expose 3.0, TCS UTC at start ( 2h:42m:22.0s)               
NCyg030392.fits,Ks,acquisition,expose 0.5, TCS UTC at start ( 2h:43m:48.0s)               
NCyg030393.fits,Ks,acquisition,expose 0.5, TCS UTC at start ( 2h:44m:18.0s)               
NCyg030394.fits,Ks,acquisition,expose 0.5, TCS UTC at start ( 2h:44m:51.0s)               
NCyg030395.fits,Ks,128slit+target,expose 0.5, TCS UTC at start ( 2h:45m:33.0s)               
NCyg030396.fits,Ks,stand1 A1,frames 3.6 1, TCS UTC at start ( 2h:45m:57.0s)               
NCyg030397.fits,Ks,stand1 B1,frames 3.6 1, TCS UTC at start ( 2h:46m:21.0s)               
NCyg030398.fits,Ks,stand1 B2,frames 3.6 1, TCS UTC at start ( 2h:46m:37.0s)               
NCyg030399.fits,Ks,stand1 A1,frames 3.6 1, TCS UTC at start ( 2h:47m:23.0s)               
NCyg030400.fits,Ks,dark after clean3,dark 0.0, TCS UTC at start (  2h:48m:2.0s)               
NCyg030401.fits,Ks,stand1 A1,frames 3.6 1, TCS UTC at start ( 2h:48m:17.0s)               
NCyg030402.fits,Ks,stand1 B1,frames 3.6 1, TCS UTC at start ( 2h:48m:41.0s)               
