Name,Filter,Object,ExposureMode,UT
NCyh020720.fits,K,StarA A1,frames 30.0 10, TCS UTC at start ( 3h:13m:16.0s)               
NCyh020721.fits,K,StarA B1,frames 30.0 10, TCS UTC at start ( 3h:18m:38.0s)               
NCyh020722.fits,K,StarA B2,frames 30.0 10, TCS UTC at start (  3h:24m:0.0s)               
NCyh020723.fits,K,StarA A2,frames 30.0 10, TCS UTC at start ( 3h:29m:22.0s)               
NCyh020724.fits,K,Argon,expose 30.0, TCS UTC at start ( 3h:35m:57.0s)               
NCyh020725.fits,K,Xenon,expose 60.0, TCS UTC at start ( 3h:36m:50.0s)               
NCyh020726.fits,K,Halogen 1,expose 60.0, TCS UTC at start (  3h:38m:9.0s)               
NCyh020727.fits,K,Halogen 2,expose 60.0, TCS UTC at start ( 3h:39m:21.0s)               
NCyh020728.fits,K,Halogen 3,expose 60.0, TCS UTC at start ( 3h:40m:33.0s)               
NCyh020729.fits,K,slit image,expose 3.0, TCS UTC at start ( 3h:47m:50.0s)               
NCyh020730.fits,K,acquisition,expose 1.0, TCS UTC at start ( 3h:48m:56.0s)               
NCyh020731.fits,K,acquisition,expose 1.0, TCS UTC at start ( 3h:50m:54.0s)               
NCyh020732.fits,K,44slit+target,expose 1.0, TCS UTC at start ( 3h:51m:46.0s)               
NCyh020733.fits,K,dark after clean3,dark 0.0, TCS UTC at start ( 3h:52m:38.0s)               
NCyh020734.fits,K,HIP99346 A1,frames 20.0 10, TCS UTC at start ( 3h:53m:45.0s)               
NCyh020735.fits,K,HIP99346 B1,frames 20.0 10, TCS UTC at start ( 3h:57m:25.0s)               
NCyh020736.fits,K,HIP99346 B2,frames 20.0 10, TCS UTC at start (   4h:1m:1.0s)               
NCyh020737.fits,K,HIP99346 A2,frames 20.0 10, TCS UTC at start (  4h:4m:43.0s)               
NCyh020738.fits,K,slit image,expose 3.0, TCS UTC at start ( 4h:14m:30.0s)               
NCyh020739.fits,K,acquisition,expose 1.0, TCS UTC at start ( 4h:15m:36.0s)               
NCyh020740.fits,K,acquisition,expose 1.0, TCS UTC at start ( 4h:16m:23.0s)               
NCyh020741.fits,K,128slit+target,expose 1.0, TCS UTC at start ( 4h:17m:18.0s)               
NCyh020742.fits,K,dark after clean3,dark 0.0, TCS UTC at start ( 4h:17m:57.0s)               
