Name,Filter,Object,ExposureMode,UT
NCyi030142.fits,K,150901neutrino A1,frames 12.0 10, TCS UTC at start ( 22h:9m:56.0s)               
NCyi030143.fits,K,150901neutrino B1,frames 12.0 10, TCS UTC at start (22h:12m:15.0s)               
NCyi030144.fits,K,150901neutrino B2,frames 12.0 10, TCS UTC at start (22h:14m:28.0s)               
NCyi030145.fits,K,150901neutrino A2,frames 12.0 10, TCS UTC at start (22h:16m:50.0s)               
NCyi030146.fits,K,Argon,expose 10.0, TCS UTC at start ( 22h:20m:9.0s)               
NCyi030147.fits,K,Xenon,expose 20.0, TCS UTC at start (22h:20m:43.0s)               
NCyi030148.fits,K,Halogen 1,expose 7.0, TCS UTC at start (22h:21m:23.0s)               
NCyi030149.fits,K,Halogen 2,expose 7.0, TCS UTC at start (22h:21m:42.0s)               
NCyi030150.fits,K,Halogen 3,expose 7.0, TCS UTC at start ( 22h:22m:0.0s)               
NCyi030151.fits,K,slit image,expose 3.0, TCS UTC at start (22h:25m:14.0s)               
NCyi030152.fits,K,acquisition,expose 0.5, TCS UTC at start (22h:26m:31.0s)               
NCyi030153.fits,K,acquisition,expose 0.5, TCS UTC at start (22h:27m:28.0s)               
NCyi030154.fits,K,128slit+target,expose 0.5, TCS UTC at start (22h:28m:20.0s)               
NCyi030155.fits,K,hip79878 A1,frames 12.0 10, TCS UTC at start ( 22h:29m:8.0s)               
NCyi030156.fits,K,dark after clean3,dark 0.0, TCS UTC at start (22h:31m:39.0s)               
NCyi030157.fits,K,dark after clean3,dark 0.0, TCS UTC at start ( 22h:32m:8.0s)               
NCyi030158.fits,K,hip79878 A1,frames 12.0 10, TCS UTC at start (22h:32m:45.0s)               
NCyi030159.fits,K,hip79878 B1,frames 12.0 10, TCS UTC at start ( 22h:35m:6.0s)               
NCyi030160.fits,K,hip79878 B2,frames 12.0 10, TCS UTC at start (22h:37m:21.0s)               
NCyi030161.fits,K,hip79878 A2,frames 12.0 10, TCS UTC at start (22h:39m:41.0s)               
NCyi030189.fits,K,kstandard1 A1,frames 10.0 6, TCS UTC at start ( 0h:21m:24.0s)               
