Name,Filter,Object,ExposureMode,UT
NCza230364.fits,K,test,expose 2.0, TCS UTC at start (20h:36m:26.0s)               
NCza230365.fits,K,HIP6193 A1,frames 5.0 2, TCS UTC at start (20h:38m:47.0s)               
NCza230366.fits,K,HIP6193 B1,frames 5.0 2, TCS UTC at start (20h:39m:14.0s)               
NCza230367.fits,K,HIP6193 B2,frames 5.0 2, TCS UTC at start (20h:39m:35.0s)               
NCza230368.fits,K,HIP6193 A2,frames 5.0 2, TCS UTC at start ( 20h:40m:2.0s)               
NCza230369.fits,K,slit image,expose 25.0, TCS UTC at start (20h:43m:13.0s)               
NCza230370.fits,K,acquisition,expose 25.0, TCS UTC at start (20h:44m:46.0s)               
NCza230371.fits,K,acquisition,expose 25.0, TCS UTC at start (20h:46m:14.0s)               
NCza230372.fits,K,acquisition,expose 25.0, TCS UTC at start (20h:47m:32.0s)               
NCza230373.fits,K,128slit+target,expose 25.0, TCS UTC at start (20h:48m:48.0s)               
NCza230374.fits,K,Object-X A1,frames 30.0 10, TCS UTC at start (20h:51m:27.0s)               
NCza230375.fits,K,Object-X B1,frames 30.0 10, TCS UTC at start (20h:56m:48.0s)               
NCza230376.fits,K,Object-X B2,frames 30.0 10, TCS UTC at start ( 21h:2m:10.0s)               
NCza230377.fits,K,Object-X A2,frames 30.0 10, TCS UTC at start ( 21h:7m:32.0s)               
NCza230378.fits,K,Argon,expose 10.0, TCS UTC at start (21h:14m:59.0s)               
NCza230379.fits,K,Xenon,expose 20.0, TCS UTC at start (21h:15m:31.0s)               
NCza230380.fits,K,Halogen 1,expose 7.0, TCS UTC at start (21h:16m:12.0s)               
NCza230381.fits,K,Halogen 2,expose 7.0, TCS UTC at start (21h:16m:30.0s)               
NCza230382.fits,K,Halogen 3,expose 7.0, TCS UTC at start (21h:16m:48.0s)               
NCza230383.fits,H,slit image,expose 3.0, TCS UTC at start (21h:21m:15.0s)               
NCza230384.fits,H,,frames 5.0 2, TCS UTC at start (21h:26m:41.0s)               
NCza230385.fits,H,HIP6193 A1,frames 5.0 2, TCS UTC at start (21h:28m:39.0s)               
NCza230386.fits,H,HIP6193 B1,frames 5.0 2, TCS UTC at start ( 21h:29m:6.0s)               
NCza230387.fits,H,HIP6193 B2,frames 5.0 2, TCS UTC at start (21h:29m:26.0s)               
NCza230388.fits,H,HIP6193 A2,frames 5.0 2, TCS UTC at start (21h:29m:54.0s)               
NCza230389.fits,H,slit image,expose 25.0, TCS UTC at start (21h:32m:28.0s)               
NCza230390.fits,H,acquisition,expose 25.0, TCS UTC at start (21h:35m:49.0s)               
NCza230391.fits,H,acquisition,expose 25.0, TCS UTC at start ( 21h:37m:3.0s)               
NCza230392.fits,H,acquisition,expose 25.0, TCS UTC at start (21h:38m:13.0s)               
NCza230393.fits,H,128slit+target,expose 25.0, TCS UTC at start (21h:39m:34.0s)               
NCza230394.fits,H,Object-X A1,frames 40.0 10, TCS UTC at start (21h:41m:39.0s)               
NCza230395.fits,H,Object-X B1,frames 40.0 10, TCS UTC at start (21h:48m:55.0s)               
NCza230396.fits,H,Object-X B2,frames 40.0 10, TCS UTC at start ( 21h:56m:6.0s)               
NCza230397.fits,H,Object-X A2,frames 40.0 10, TCS UTC at start ( 22h:3m:22.0s)               
NCza230398.fits,H,Object-X A1,frames 40.0 10, TCS UTC at start (22h:10m:38.0s)               
NCza230399.fits,H,Object-X B1,frames 40.0 10, TCS UTC at start (22h:17m:45.0s)               
NCza230400.fits,H,Object-X B2,frames 40.0 10, TCS UTC at start (22h:24m:56.0s)               
NCza230401.fits,H,Object-X A2,frames 40.0 10, TCS UTC at start (22h:32m:10.0s)               
NCza230402.fits,H,Argon,expose 2.0, TCS UTC at start (22h:40m:20.0s)               
NCza230403.fits,H,Xenon,expose 10.0, TCS UTC at start (22h:40m:44.0s)               
NCza230404.fits,H,Halogen 1,expose 7.0, TCS UTC at start (22h:41m:15.0s)               
NCza230405.fits,H,Halogen 2,expose 7.0, TCS UTC at start (22h:41m:33.0s)               
NCza230406.fits,H,Halogen 3,expose 7.0, TCS UTC at start (22h:41m:50.0s)               
NCza230407.fits,Ks,Halogen 3,expose 5.0, TCS UTC at start (22h:46m:24.0s)               
NCza230750.fits,J,dark-1.0-1 1,dark 1.0, TCS UTC at start ( 6h:51m:36.0s)               
NCza230751.fits,J,dark-1.0-1 2,dark 1.0, TCS UTC at start ( 6h:51m:49.0s)               
NCza230752.fits,J,dark-1.0-1 3,dark 1.0, TCS UTC at start (  6h:52m:0.0s)               
NCza230753.fits,J,dark-1.0-1 4,dark 1.0, TCS UTC at start ( 6h:52m:13.0s)               
NCza230754.fits,J,dark-1.0-1 5,dark 1.0, TCS UTC at start ( 6h:52m:24.0s)               
NCza230755.fits,J,dark-1.0-1 6,dark 1.0, TCS UTC at start ( 6h:52m:36.0s)               
NCza230756.fits,J,dark-10.0-1 1,dark 10.0, TCS UTC at start ( 6h:52m:48.0s)               
NCza230757.fits,J,dark-10.0-1 2,dark 10.0, TCS UTC at start (  6h:53m:9.0s)               
NCza230758.fits,J,dark-10.0-1 3,dark 10.0, TCS UTC at start ( 6h:53m:29.0s)               
NCza230759.fits,J,dark-10.0-1 4,dark 10.0, TCS UTC at start ( 6h:53m:50.0s)               
NCza230760.fits,J,dark-10.0-1 5,dark 10.0, TCS UTC at start ( 6h:54m:11.0s)               
NCza230761.fits,J,dark-10.0-1 6,dark 10.0, TCS UTC at start ( 6h:54m:31.0s)               
NCza230762.fits,J,dark-12.0-1 1,dark 12.0, TCS UTC at start ( 6h:54m:53.0s)               
NCza230763.fits,J,dark-12.0-1 2,dark 12.0, TCS UTC at start ( 6h:55m:15.0s)               
NCza230764.fits,J,dark-12.0-1 3,dark 12.0, TCS UTC at start ( 6h:55m:38.0s)               
NCza230765.fits,J,dark-12.0-1 4,dark 12.0, TCS UTC at start (  6h:56m:1.0s)               
NCza230766.fits,J,dark-12.0-1 5,dark 12.0, TCS UTC at start ( 6h:56m:23.0s)               
NCza230767.fits,J,dark-12.0-1 6,dark 12.0, TCS UTC at start ( 6h:56m:46.0s)               
NCza230768.fits,J,dark-15.0-1 1,dark 15.0, TCS UTC at start (  6h:57m:9.0s)               
NCza230769.fits,J,dark-15.0-1 2,dark 15.0, TCS UTC at start ( 6h:57m:35.0s)               
NCza230770.fits,J,dark-15.0-1 3,dark 15.0, TCS UTC at start (  6h:58m:0.0s)               
NCza230771.fits,J,dark-15.0-1 4,dark 15.0, TCS UTC at start ( 6h:58m:26.0s)               
NCza230772.fits,J,dark-15.0-1 5,dark 15.0, TCS UTC at start ( 6h:58m:51.0s)               
NCza230773.fits,J,dark-15.0-1 6,dark 15.0, TCS UTC at start ( 6h:59m:16.0s)               
NCza230774.fits,J,dark-2.0-1 1,dark 2.0, TCS UTC at start ( 6h:59m:42.0s)               
NCza230775.fits,J,dark-2.0-1 2,dark 2.0, TCS UTC at start ( 6h:59m:55.0s)               
NCza230776.fits,J,dark-2.0-1 3,dark 2.0, TCS UTC at start (   7h:0m:8.0s)               
