Name,Filter,Object,ExposureMode,UT
NCzc250001.fits,Ks,slit_test,expose 1.0, TCS UTC at start (  19h:0m:6.0s)               
NCzc250002.fits,Ks,focus_1,expose 15.0, TCS UTC at start (  20h:3m:2.0s)               
NCzc250003.fits,Ks,focus_1,expose 15.0, TCS UTC at start ( 20h:4m:21.0s)               
NCzc250004.fits,Ks,focus_1,expose 15.0, TCS UTC at start ( 20h:5m:22.0s)               
NCzc250005.fits,Ks,focus_1,expose 15.0, TCS UTC at start (  20h:6m:9.0s)               
NCzc250007.fits,Ks,focus_1,expose 15.0, TCS UTC at start ( 20h:7m:52.0s)               
NCzc250008.fits,Ks,focus_1,expose 15.0, TCS UTC at start (  20h:9m:5.0s)               
NCzc250009.fits,Ks,focus_1,expose 15.0, TCS UTC at start ( 20h:9m:48.0s)               
NCzc250010.fits,Ks,focus_1,expose 15.0, TCS UTC at start (20h:10m:39.0s)               
NCzc250011.fits,Ks,focus_1,expose 15.0, TCS UTC at start (20h:11m:18.0s)               
NCzc250012.fits,Ks,focus_1,expose 15.0, TCS UTC at start ( 20h:12m:2.0s)               
NCzc250013.fits,Ks,focus_1,expose 15.0, TCS UTC at start ( 20h:13m:1.0s)               
NCzc250014.fits,Ks,focus_1,expose 15.0, TCS UTC at start (20h:13m:40.0s)               
NCzc250015.fits,Ks,focus_1,expose 15.0, TCS UTC at start (20h:14m:19.0s)               
NCzc250016.fits,Ks,focus_1,expose 15.0, TCS UTC at start ( 20h:15m:5.0s)               
NCzc250017.fits,J,WF field-r=-90,expose 15.0, TCS UTC at start (20h:17m:31.0s)               
NCzc250018.fits,J,WF field-r=+90,expose 15.0, TCS UTC at start (20h:19m:46.0s)               
NCzc250019.fits,J,HR field-r=+90,expose 30.0, TCS UTC at start (20h:20m:25.0s)               
NCzc250020.fits,J,HR field-r=-90,expose 30.0, TCS UTC at start (20h:22m:34.0s)               
NCzc250021.fits,J,align,expose 15.0, TCS UTC at start (20h:24m:53.0s)               
NCzc250022.fits,J,align,expose 15.0, TCS UTC at start (20h:25m:56.0s)               
NCzc250023.fits,J,align,expose 15.0, TCS UTC at start (20h:26m:43.0s)               
NCzc250024.fits,J,align,expose 15.0, TCS UTC at start ( 20h:28m:5.0s)               
NCzc250025.fits,J,align,expose 15.0, TCS UTC at start (20h:29m:22.0s)               
NCzc250026.fits,Ks,slit image,expose 15.0, TCS UTC at start (20h:46m:28.0s)               
NCzc250027.fits,Ks,acquisition,expose 15.0, TCS UTC at start (20h:48m:45.0s)               
NCzc250028.fits,Ks,acquisition,expose 15.0, TCS UTC at start (20h:49m:41.0s)               
NCzc250029.fits,Ks,acquisition,expose 15.0, TCS UTC at start (20h:52m:18.0s)               
NCzc250030.fits,Ks,128slit+target,expose 15.0, TCS UTC at start (20h:53m:48.0s)               
NCzc250031.fits,K,slit image,expose 3.0, TCS UTC at start ( 21h:7m:26.0s)               
NCzc250032.fits,K,acquisition,expose 1.0, TCS UTC at start ( 21h:8m:40.0s)               
NCzc250033.fits,K,acquisition,expose 1.0, TCS UTC at start ( 21h:9m:19.0s)               
NCzc250034.fits,Ks,test,expose 15.0, TCS UTC at start ( 21h:20m:7.0s)               
NCzc250035.fits,Ks,test,expose 15.0, TCS UTC at start (21h:22m:23.0s)               
NCzc250036.fits,Ks,slit image,expose 15.0, TCS UTC at start (21h:24m:55.0s)               
NCzc250037.fits,Ks,acquisition,expose 15.0, TCS UTC at start (21h:25m:59.0s)               
NCzc250038.fits,Ks,acquisition,expose 15.0, TCS UTC at start (21h:26m:50.0s)               
NCzc250039.fits,Ks,acquisition,expose 15.0, TCS UTC at start (21h:27m:45.0s)               
NCzc250040.fits,Ks,128slit+target,expose 15.0, TCS UTC at start (21h:28m:44.0s)               
NCzc250041.fits,Ks,J074521 A1,frames 60.0 10, TCS UTC at start (21h:31m:54.0s)               
NCzc250042.fits,Ks,J074521 B1,frames 60.0 10, TCS UTC at start (21h:42m:33.0s)               
NCzc250043.fits,Ks,J074521 B2,frames 60.0 10, TCS UTC at start (21h:53m:20.0s)               
NCzc250044.fits,Ks,J074521 A2,frames 60.0 10, TCS UTC at start (  22h:4m:0.0s)               
NCzc250045.fits,Ks,J074521 A1,frames 60.0 10, TCS UTC at start (22h:14m:47.0s)               
NCzc250046.fits,Ks,J074521 B1,frames 60.0 10, TCS UTC at start (22h:25m:26.0s)               
NCzc250047.fits,Ks,J074521 B2,frames 60.0 10, TCS UTC at start (22h:36m:13.0s)               
NCzc250048.fits,Ks,J074521 A2,frames 60.0 10, TCS UTC at start (22h:46m:53.0s)               
NCzc250049.fits,Ks,Argon,expose 10.0, TCS UTC at start (22h:58m:54.0s)               
NCzc250050.fits,Ks,Xenon,expose 20.0, TCS UTC at start (22h:59m:28.0s)               
NCzc250051.fits,Ks,Halogen 1,expose 7.0, TCS UTC at start (  23h:0m:8.0s)               
NCzc250052.fits,Ks,Halogen 2,expose 7.0, TCS UTC at start ( 23h:0m:26.0s)               
NCzc250053.fits,Ks,Halogen 3,expose 7.0, TCS UTC at start ( 23h:0m:44.0s)               
NCzc250054.fits,Ks,slit image,expose 3.0, TCS UTC at start (  23h:4m:3.0s)               
NCzc250055.fits,Ks,acquisition,expose 0.5, TCS UTC at start ( 23h:4m:55.0s)               
NCzc250056.fits,Ks,acquisition,expose 0.5, TCS UTC at start ( 23h:5m:42.0s)               
NCzc250057.fits,Ks,acquisition,expose 0.5, TCS UTC at start ( 23h:6m:14.0s)               
NCzc250058.fits,Ks,128slit+target,expose 0.5, TCS UTC at start ( 23h:6m:54.0s)               
NCzc250059.fits,Ks,39722 A1,frames 10.0 6, TCS UTC at start ( 23h:8m:23.0s)               
NCzc250060.fits,Ks,39722 B1,frames 10.0 6, TCS UTC at start ( 23h:9m:41.0s)               
NCzc250061.fits,Ks,39722 B2,frames 10.0 6, TCS UTC at start (23h:10m:57.0s)               
NCzc250062.fits,Ks,39722 A2,frames 10.0 6, TCS UTC at start (23h:12m:14.0s)               
