Name,Filter,Object,ExposureMode,UT
NCzd190001.fits,J,test,dark 0.0, TCS UTC at start (16h:21m:14.0s)               
NCzd190002.fits,J,test,dark 0.0, TCS UTC at start (16h:21m:28.0s)               
NCzd190003.fits,J,test,dark 0.0, TCS UTC at start (16h:21m:44.0s)               
NCzd190004.fits,H,slit,expose 1.0, TCS UTC at start ( 16h:24m:2.0s)               
NCzd190005.fits,H,dark after clean3,dark 0.0, TCS UTC at start (16h:24m:48.0s)               
NCzd190006.fits,K,,expose 0.5, TCS UTC at start ( 16h:27m:7.0s)               
NCzd190007.fits,K,dark after clean3,dark 0.0, TCS UTC at start ( 16h:29m:8.0s)               
NCzd190008.fits,K,,dframes 30.0 10, TCS UTC at start (17h:34m:24.0s)               
NCzd190009.fits,K,,dframes 30.0 10, TCS UTC at start (17h:55m:32.0s)               
NCzd190010.fits,Ks,,expose 20.0, TCS UTC at start (  0h:2m:37.0s)               
NCzd190011.fits,Ks,,expose 20.0, TCS UTC at start (   0h:4m:5.0s)               
NCzd190012.fits,Ks,,expose 20.0, TCS UTC at start (   0h:5m:9.0s)               
NCzd190013.fits,Ks,,expose 20.0, TCS UTC at start (   0h:6m:7.0s)               
NCzd190014.fits,Ks,,expose 20.0, TCS UTC at start (  0h:7m:33.0s)               
NCzd190015.fits,Ks,,expose 20.0, TCS UTC at start (  0h:8m:45.0s)               
NCzd190016.fits,Ks,,expose 20.0, TCS UTC at start ( 1h:41m:53.0s)               
NCzd190017.fits,Ks,,expose 20.0, TCS UTC at start ( 1h:42m:48.0s)               
NCzd190018.fits,Ks,,expose 20.0, TCS UTC at start ( 1h:44m:36.0s)               
NCzd190019.fits,Ks,,expose 20.0, TCS UTC at start ( 1h:45m:55.0s)               
NCzd190020.fits,Ks,,expose 20.0, TCS UTC at start ( 1h:47m:28.0s)               
NCzd190021.fits,Ks,,expose 20.0, TCS UTC at start ( 1h:48m:29.0s)               
NCzd190022.fits,Ks,,expose 20.0, TCS UTC at start ( 1h:49m:37.0s)               
NCzd190023.fits,Ks,,expose 20.0, TCS UTC at start ( 1h:50m:41.0s)               
NCzd190024.fits,H,slit image,expose 3.0, TCS UTC at start (  1h:54m:6.0s)               
NCzd190025.fits,H,acquisition,expose 1.0, TCS UTC at start ( 1h:55m:13.0s)               
NCzd190026.fits,H,acquisition,expose 1.0, TCS UTC at start (  1h:56m:1.0s)               
NCzd190027.fits,H,128slit+target,expose 1.0, TCS UTC at start ( 1h:56m:45.0s)               
NCzd190028.fits,H,HIP62745 A1,frames 10.0 10, TCS UTC at start ( 1h:57m:57.0s)               
NCzd190029.fits,H,HIP62745 B1,frames 10.0 10, TCS UTC at start ( 1h:59m:55.0s)               
NCzd190030.fits,H,HIP62745 B2,frames 10.0 10, TCS UTC at start (  2h:1m:48.0s)               
NCzd190031.fits,H,HIP62745 A2,frames 10.0 10, TCS UTC at start (  2h:3m:46.0s)               
NCzd190032.fits,H,slit image,expose 20.0, TCS UTC at start (  2h:6m:36.0s)               
