Name,Filter,Object,ExposureMode,UT
NCze220004.fits,Kprime,dark pos A,dframes 4.0 5, TCS UTC at start ( 17h:6m:10.0s)               
NCze220005.fits,Kprime,dark pos B,dframes 4.0 5, TCS UTC at start ( 17h:6m:40.0s)               
NCze220006.fits,Kprime,dark pos C,dframes 4.0 5, TCS UTC at start ( 17h:7m:11.0s)               
NCze220007.fits,Kprime,dark pos A,dframes 4.0 5, TCS UTC at start (17h:20m:21.0s)               
NCze220008.fits,Kprime,dark pos B,dframes 4.0 5, TCS UTC at start ( 17h:21m:1.0s)               
NCze220009.fits,Kprime,dark pos C,dframes 4.0 5, TCS UTC at start ( 17h:22m:6.0s)               
NCze220010.fits,Kprime,dark pos A,dframes 4.0 5, TCS UTC at start (17h:30m:34.0s)               
NCze220011.fits,Kprime,dark pos A,dframes 4.0 5, TCS UTC at start ( 17h:32m:4.0s)               
NCze220012.fits,Kprime,dark pos B,dframes 4.0 5, TCS UTC at start (17h:32m:53.0s)               
NCze220013.fits,Kprime,dark pos C,dframes 4.0 5, TCS UTC at start (17h:33m:58.0s)               
NCze220014.fits,Kprime,dark pos A,dframes 4.0 5, TCS UTC at start (17h:40m:35.0s)               
NCze220015.fits,Kprime,dark pos B,dframes 4.0 5, TCS UTC at start (17h:41m:16.0s)               
NCze220016.fits,Kprime,dark pos C,dframes 4.0 5, TCS UTC at start (17h:42m:22.0s)               
NCze220017.fits,Kprime,dark pos A,dframes 4.0 5, TCS UTC at start (  18h:5m:4.0s)               
NCze220018.fits,Kprime,dark pos B,dframes 4.0 5, TCS UTC at start ( 18h:5m:43.0s)               
NCze220019.fits,Kprime,dark pos C,dframes 4.0 5, TCS UTC at start ( 18h:6m:22.0s)               
NCze220020.fits,Kprime,dark pos A,dframes 4.0 5, TCS UTC at start (18h:10m:49.0s)               
NCze220021.fits,Kprime,dark pos B,dframes 4.0 5, TCS UTC at start (18h:11m:28.0s)               
NCze220022.fits,Kprime,dark pos C,dframes 4.0 5, TCS UTC at start ( 18h:12m:7.0s)               
NCze220023.fits,Kprime,dark pos A,dframes 4.0 5, TCS UTC at start (18h:13m:38.0s)               
NCze220024.fits,Kprime,dark pos B,dframes 4.0 5, TCS UTC at start (18h:14m:17.0s)               
