Name,Filter,Object,ExposureMode,UT
NCzf200182.fits,Ks,skyflat 1,expose 10.0, TCS UTC at start (  20h:9m:9.0s)               
NCzf200183.fits,Ks,skyflat 2,expose 10.0, TCS UTC at start ( 20h:9m:31.0s)               
NCzf200184.fits,Ks,skyflat 3,expose 10.0, TCS UTC at start ( 20h:9m:52.0s)               
NCzf200185.fits,Ks,skyflat 4,expose 10.0, TCS UTC at start (20h:10m:12.0s)               
NCzf200186.fits,Ks,skyflat 5,expose 10.0, TCS UTC at start (20h:10m:34.0s)               
NCzf200187.fits,Ks,skyflat 6,expose 10.0, TCS UTC at start (20h:10m:54.0s)               
NCzf200188.fits,Ks,skyflat 7,expose 10.0, TCS UTC at start (20h:11m:16.0s)               
NCzf200189.fits,Ks,skyflat 8,expose 10.0, TCS UTC at start (20h:11m:36.0s)               
NCzf200192.fits,H,skyflat 1,expose 5.0, TCS UTC at start (20h:13m:18.0s)               
NCzf200193.fits,H,skyflat 2,expose 5.0, TCS UTC at start (20h:13m:35.0s)               
NCzf200194.fits,H,skyflat 3,expose 5.0, TCS UTC at start (20h:13m:50.0s)               
NCzf200195.fits,H,skyflat 4,expose 5.0, TCS UTC at start ( 20h:14m:6.0s)               
NCzf200196.fits,H,skyflat 5,expose 5.0, TCS UTC at start (20h:14m:21.0s)               
NCzf200197.fits,H,skyflat 6,expose 5.0, TCS UTC at start (20h:14m:36.0s)               
NCzf200198.fits,H,skyflat 7,expose 5.0, TCS UTC at start (20h:14m:52.0s)               
NCzf200199.fits,H,skyflat 8,expose 5.0, TCS UTC at start ( 20h:15m:7.0s)               
NCzf200201.fits,J,skyflat 1,expose 4.0, TCS UTC at start (20h:16m:26.0s)               
NCzf200202.fits,J,skyflat 2,expose 4.0, TCS UTC at start (20h:16m:40.0s)               
NCzf200203.fits,J,skyflat 3,expose 4.0, TCS UTC at start (20h:16m:55.0s)               
NCzf200204.fits,J,skyflat 4,expose 4.0, TCS UTC at start (20h:17m:10.0s)               
NCzf200205.fits,J,skyflat 5,expose 4.0, TCS UTC at start (20h:17m:24.0s)               
NCzf200206.fits,J,skyflat 6,expose 4.0, TCS UTC at start (20h:17m:39.0s)               
NCzf200207.fits,J,skyflat 7,expose 4.0, TCS UTC at start (20h:17m:53.0s)               
NCzf200208.fits,J,skyflat 8,expose 4.0, TCS UTC at start ( 20h:18m:8.0s)               
NCzf200212.fits,Ks,skyflat 1,expose 5.0, TCS UTC at start (20h:22m:26.0s)               
NCzf200213.fits,Ks,skyflat 2,expose 5.0, TCS UTC at start (20h:22m:42.0s)               
NCzf200214.fits,Ks,skyflat 3,expose 5.0, TCS UTC at start (20h:22m:58.0s)               
NCzf200215.fits,Ks,skyflat 4,expose 5.0, TCS UTC at start (20h:23m:13.0s)               
NCzf200216.fits,Ks,skyflat 5,expose 5.0, TCS UTC at start (20h:23m:28.0s)               
